,MSK51,MSK2390
Ex_Drain_C00089_Sucrose__cyto,1,1
R00619__cyto,1,1
EX_C04145__extr,1,1
R00306__cyto,1,1
R01518__cyto,1,1
TR0011652_CYTMEM__plas,1,1
EX_C03372__extr,1,1
R00022__cyto,1,1
T_Hydrogen_peroxide_V1__pero,1,1
R01234__cyto,1,1
TZ2900043_CYTMEM__plas,1,1
T_Succinate_c00042_CytoMito__plas,1,1
T_Proline_c00148_ExtrCyto__plas,1,1
R01049__cyto,1,1
R00711__cyto,1,1
EX_C00185__extr,1,1
R12118__mito,1,1
R03776__cyto,1,1
T_S_Adenosyl_L_Methionine_c00019_CytoMito___plas,1,1
R08161__cyto,1,1
T_CO2_C00011_CytoMito__plas,1,1
R00999__cyto,1,1
TR1000218_CYTMEM__plas,1,1
R10851__mito,1,1
TZ3000003_CYTMEM__plas,1,1
R07237__cyto,1,1
R04014__cyto,1,1
R02819__cyto,1,1
EX_C00188__extr,1,1
R02750__cyto,1,1
R07896__cyto,1,1
TO0000021_CYTMEM__plas,1,1
TR2900293_CYTMEM__plas,1,1
TR1000832_CYTMEM__plas,1,1
R03527__cyto,1,1
R07951__cyto,1,1
T_Ethanol_c00469__plas,1,1
R07395__cyto,1,1
R02222__cyto,1,1
R11217__cyto,1,1
TO1011451_CYTMEM__plas,1,1
TR0003176_CYTMEM__plas,1,1
TZ3000018_CYTMEM__plas,1,1
EX_C00462__extr,1,1
EX_C00158__extr,1,1
R04952__cyto,1,1
R01513__cyto,1,1
TR0001122_CYTMEM__plas,1,1
R07045__cyto,1,1
R00590__cyto,1,1
R02473__cyto,1,1
R04482__cyto,1,1
R00092__cyto,1,1
TR1000395_CYTMEM__plas,1,1
R07235__mito,1,1
TR0000074_CYTMEM__plas,1,1
T_Phenylalanine_c00079_ExtrCyto__plas,1,1
EX_C00245__extr,1,1
TR0015555_CYTMEM__plas,1,1
R07953__cyto,1,1
R00836__cyto,1,1
R02251__cyto,1,1
R01602__cyto,1,1
EX_C16487__extr,1,1
R07760__cyto,1,1
TR0003846_CYTMEM__plas,1,1
TR2916859_CYTMEM__plas,1,1
TR0010516_CYTMEM__plas,1,1
TR0000119_CYTMEM__plas,1,1
R08163__cyto,1,1
EX_C00655__extr,1,1
R00968__cyto,1,1
R07237__mito,1,1
R01325__mito,1,1
EX_C00376__extr,1,1
R04734__cyto,1,1
R07859__cyto,1,1
R07042__cyto,1,1
R03093__cyto,1,1
EX_C05973__extr,1,1
EX_C01230__extr,1,1
